timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est
2026-06-21 22:02:00.662,991.42,991.05,-0.37,nan
2026-06-21 22:02:01.288,991.46,991.05,-0.41,nan
2026-06-21 22:02:01.911,991.45,991.05,-0.40,nan
2026-06-21 22:02:02.537,991.47,991.05,-0.42,nan
2026-06-21 22:02:03.169,991.46,991.05,-0.41,nan
2026-06-21 22:02:03.802,991.43,991.05,-0.39,nan
2026-06-21 22:02:04.434,991.47,991.05,-0.41,nan
2026-06-21 22:02:05.067,991.46,991.05,-0.41,nan
2026-06-21 22:02:05.699,991.44,991.04,-0.40,nan
2026-06-21 22:02:06.332,991.47,991.05,-0.42,nan
2026-06-21 22:02:06.965,991.45,991.05,-0.40,nan
