timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est
2026-06-21 22:45:45.865,991.57,991.27,-30.60,-7.39
2026-06-21 22:45:46.488,991.61,991.30,-30.04,-7.33
2026-06-21 22:45:47.122,991.64,991.26,-37.93,-8.23
2026-06-21 22:45:47.750,991.62,991.25,-36.31,-8.06
2026-06-21 22:45:48.373,991.65,991.24,-41.04,-8.57
2026-06-21 22:45:48.997,991.60,991.26,-33.72,-7.76
2026-06-21 22:45:49.619,991.62,991.26,-36.08,-8.03
2026-06-21 22:45:50.243,991.63,991.28,-35.36,-7.95
2026-06-21 22:45:50.866,991.65,991.26,-39.16,-8.37
2026-06-21 22:45:51.489,991.63,991.31,-32.77,-7.65
2026-06-21 22:45:52.115,991.66,991.23,-42.93,-8.76
2026-06-21 22:45:52.747,991.62,991.27,-35.16,-7.93
2026-06-21 22:45:53.382,991.63,991.26,-37.26,-8.16
2026-06-21 22:45:54.016,991.63,991.28,-34.95,-7.90
2026-06-21 22:45:54.649,991.64,991.28,-36.17,-8.04
2026-06-21 22:45:55.282,991.63,991.25,-37.52,-8.19
2026-06-21 22:45:55.915,991.64,991.28,-36.35,-8.06
2026-06-21 22:45:56.547,991.62,991.39,-23.11,-6.44
2026-06-21 22:45:57.180,991.63,992.37,73.34,11.47
2026-06-21 22:45:57.812,991.64,991.31,-33.33,-7.73
2026-06-21 22:45:58.445,991.64,991.29,-35.27,-7.95
2026-06-21 22:45:59.077,991.66,991.27,-38.65,-8.32
2026-06-21 22:45:59.710,991.62,991.24,-37.84,-8.24
2026-06-21 22:46:00.342,991.64,991.26,-38.05,-8.26
2026-06-21 22:46:00.974,991.65,991.22,-43.08,-8.79
2026-06-21 22:46:01.607,991.65,991.26,-39.29,-8.39
2026-06-21 22:46:02.240,991.65,991.30,-34.82,-7.90
2026-06-21 22:46:02.875,991.63,991.26,-37.71,-8.22
2026-06-21 22:46:03.507,991.64,991.26,-38.49,-8.31
2026-06-21 22:46:04.140,991.64,991.32,-32.97,-7.69
2026-06-21 22:46:04.771,991.65,991.33,-32.15,-7.59
2026-06-21 22:46:05.403,991.67,991.31,-35.93,-8.02
2026-06-21 22:46:06.036,991.65,991.28,-36.34,-8.07
2026-06-21 22:46:06.669,991.68,991.26,-42.02,-8.67
2026-06-21 22:46:07.302,991.71,991.27,-43.96,-8.87
2026-06-21 22:46:07.935,991.65,991.28,-37.96,-8.24
2026-06-21 22:46:08.567,991.66,991.26,-40.17,-8.48
2026-06-21 22:46:09.199,991.67,991.25,-42.36,-8.71
2026-06-21 22:46:09.832,991.67,991.30,-37.07,-8.14
2026-06-21 22:46:10.465,991.68,991.27,-41.24,-8.59
2026-06-21 22:46:11.100,991.66,991.26,-39.28,-8.38
2026-06-21 22:46:11.731,991.67,991.32,-34.69,-7.88
2026-06-21 22:46:12.364,991.66,991.25,-40.88,-8.55
2026-06-21 22:46:12.997,991.65,991.24,-41.30,-8.60
