timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est
2026-06-22 17:13:32.431,990.34,989.43,-90.68,-12.82
2026-06-22 17:13:33.054,990.38,989.43,-95.08,-13.13
2026-06-22 17:13:33.677,990.38,989.46,-92.46,-12.95
2026-06-22 17:13:34.300,990.39,989.49,-90.34,-12.80
2026-06-22 17:13:34.923,990.39,989.46,-93.19,-13.00
2026-06-22 17:13:35.546,990.40,989.44,-95.53,-13.16
2026-06-22 17:13:36.170,990.38,989.47,-91.04,-12.85
2026-06-22 17:13:36.802,990.42,989.47,-94.55,-13.10
2026-06-22 17:13:37.434,990.41,989.47,-93.43,-13.02
2026-06-22 17:13:38.066,990.41,989.48,-93.18,-13.00
2026-06-22 17:13:38.698,990.38,989.46,-92.31,-12.94
2026-06-22 17:13:39.331,990.43,989.49,-93.65,-13.04
2026-06-22 17:13:39.963,990.41,989.50,-91.15,-12.86
2026-06-22 17:13:40.597,990.37,989.49,-88.06,-12.64
2026-06-22 17:13:41.229,990.40,989.51,-89.49,-12.74
2026-06-22 17:13:41.861,990.43,989.46,-96.76,-13.25
2026-06-22 17:13:42.493,990.41,989.51,-90.73,-12.83
2026-06-22 17:13:43.125,990.44,989.48,-95.97,-13.20
2026-06-22 17:13:43.757,990.41,989.45,-95.45,-13.16
2026-06-22 17:13:44.389,990.42,989.48,-93.96,-13.06
2026-06-22 17:13:45.021,990.40,989.48,-92.42,-12.95
2026-06-22 17:13:45.653,990.43,989.46,-96.96,-13.26
2026-06-22 17:13:46.285,990.39,989.51,-88.58,-12.68
2026-06-22 17:13:46.917,990.40,989.46,-94.36,-13.09
2026-06-22 17:13:47.549,990.38,989.47,-91.08,-12.86
2026-06-22 17:13:48.181,990.39,990.33,-6.65,-3.47
2026-06-22 17:13:48.814,990.37,989.44,-92.52,-12.96
2026-06-22 17:13:49.448,990.36,990.12,-23.11,-6.48
2026-06-22 17:13:50.080,990.40,989.44,-95.92,-13.19
2026-06-22 17:13:50.712,990.39,989.48,-91.21,-12.87
2026-06-22 17:13:51.345,990.37,994.65,428.54,27.89
2026-06-22 17:13:51.977,990.34,989.40,-93.85,-13.05
2026-06-22 17:13:52.609,990.38,989.46,-92.39,-12.95
2026-06-22 17:13:53.241,990.39,989.42,-97.30,-13.29
2026-06-22 17:13:53.874,990.41,989.42,-99.77,-13.46
2026-06-22 17:13:54.506,990.37,989.44,-92.74,-12.97
2026-06-22 17:13:55.138,990.38,989.47,-90.42,-12.81
2026-06-22 17:13:55.770,990.38,989.46,-92.49,-12.96
2026-06-22 17:13:56.402,990.39,989.45,-93.66,-13.04
2026-06-22 17:13:57.034,990.41,989.42,-98.80,-13.39
2026-06-22 17:13:57.669,990.39,989.45,-94.12,-13.07
2026-06-22 17:13:58.301,990.39,989.44,-95.08,-13.14
2026-06-22 17:13:58.933,990.41,989.52,-88.84,-12.70
2026-06-22 17:13:59.565,990.40,989.75,-65.01,-10.86
2026-06-22 17:14:00.197,990.40,989.58,-82.64,-12.25
2026-06-22 17:14:00.829,990.37,989.73,-64.38,-10.81
2026-06-22 17:14:01.461,990.39,989.70,-69.15,-11.20
2026-06-22 17:14:02.093,990.45,989.59,-85.53,-12.46
2026-06-22 17:14:02.726,990.39,989.45,-94.20,-13.08
2026-06-22 17:14:03.358,990.42,989.43,-99.33,-13.43
2026-06-22 17:14:03.990,990.41,989.48,-93.27,-13.01
2026-06-22 17:14:04.622,990.43,989.48,-94.86,-13.12
2026-06-22 17:14:05.254,990.42,989.49,-93.23,-13.01
2026-06-22 17:14:05.889,990.43,989.47,-96.62,-13.24
2026-06-22 17:14:06.522,990.41,989.48,-93.32,-13.02
2026-06-22 17:14:07.154,990.41,989.42,-98.91,-13.40
2026-06-22 17:14:07.786,990.43,989.52,-91.23,-12.87
2026-06-22 17:14:08.419,990.43,989.89,-53.31,-9.84
2026-06-22 17:14:09.051,990.41,990.75,33.86,7.84
2026-06-22 17:14:09.684,990.42,989.39,-103.34,-13.70
2026-06-22 17:14:10.316,990.41,989.46,-95.38,-13.16
2026-06-22 17:14:10.949,990.43,989.40,-102.72,-13.66
2026-06-22 17:14:11.580,990.41,989.41,-100.07,-13.48
2026-06-22 17:14:12.213,990.44,989.41,-102.82,-13.66
2026-06-22 17:14:12.844,990.38,989.38,-99.78,-13.46
2026-06-22 17:14:13.476,990.37,989.42,-94.97,-13.13
2026-06-22 17:14:14.109,990.38,989.38,-100.38,-13.50
2026-06-22 17:14:14.741,990.39,989.39,-100.71,-13.52
