timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est
2026-06-21 22:18:58.953,991.61,991.30,-0.31,-0.74
2026-06-21 22:18:59.576,991.65,991.31,-0.34,-0.78
2026-06-21 22:19:00.201,991.62,991.31,-0.31,-0.74
2026-06-21 22:19:00.824,991.67,991.31,-0.36,-0.80
2026-06-21 22:19:01.449,991.67,991.32,-0.35,-0.79
2026-06-21 22:19:02.082,991.65,991.33,-0.33,-0.76
2026-06-21 22:19:02.715,991.65,991.33,-0.32,-0.75
2026-06-21 22:19:03.348,991.67,991.34,-0.33,-0.77
2026-06-21 22:19:03.981,991.68,991.34,-0.34,-0.78
2026-06-21 22:19:04.613,991.68,991.34,-0.34,-0.78
2026-06-21 22:19:05.246,991.70,991.34,-0.36,-0.80
2026-06-21 22:19:05.873,991.65,991.33,-0.31,-0.75
2026-06-21 22:19:06.505,991.67,991.33,-0.34,-0.78
2026-06-21 22:19:07.137,991.65,991.33,-0.32,-0.75
2026-06-21 22:19:07.769,991.66,991.32,-0.34,-0.78
2026-06-21 22:19:08.402,991.66,991.32,-0.34,-0.78
2026-06-21 22:19:09.035,991.67,991.32,-0.35,-0.78
2026-06-21 22:19:09.667,991.68,991.33,-0.35,-0.80
2026-06-21 22:19:10.298,991.70,991.33,-0.37,-0.81
2026-06-21 22:19:10.922,991.66,991.32,-0.34,-0.78
2026-06-21 22:19:11.544,991.64,991.33,-0.31,-0.74
2026-06-21 22:19:12.169,991.72,991.34,-0.38,-0.82
2026-06-21 22:19:12.793,991.65,991.34,-0.32,-0.75
2026-06-21 22:19:13.416,991.65,991.34,-0.31,-0.74
2026-06-21 22:19:14.040,991.65,991.34,-0.31,-0.75
2026-06-21 22:19:14.663,991.67,991.33,-0.35,-0.79
2026-06-21 22:19:15.287,991.66,991.33,-0.33,-0.77
2026-06-21 22:19:15.921,991.68,991.32,-0.36,-0.80
2026-06-21 22:19:16.553,991.67,991.33,-0.34,-0.78
2026-06-21 22:19:17.181,991.65,991.34,-0.32,-0.75
2026-06-21 22:19:17.810,991.69,991.33,-0.36,-0.80
2026-06-21 22:19:18.433,991.67,991.33,-0.35,-0.79
2026-06-21 22:19:19.056,991.66,991.33,-0.34,-0.77
2026-06-21 22:19:19.679,991.66,991.33,-0.34,-0.77
2026-06-21 22:19:20.302,991.65,991.32,-0.33,-0.77
2026-06-21 22:19:20.926,991.64,991.33,-0.31,-0.74
2026-06-21 22:19:21.549,991.68,991.32,-0.36,-0.80
2026-06-21 22:19:22.173,991.68,991.32,-0.36,-0.81
2026-06-21 22:19:22.806,991.69,991.32,-0.37,-0.81
2026-06-21 22:19:23.438,991.66,991.32,-0.34,-0.78
2026-06-21 22:19:24.073,991.70,991.32,-0.37,-0.82
2026-06-21 22:19:24.706,991.73,991.33,-0.40,-0.84
2026-06-21 22:19:25.339,991.67,991.32,-0.34,-0.78
2026-06-21 22:19:25.971,991.68,991.33,-0.35,-0.79
2026-06-21 22:19:26.604,991.68,991.33,-0.36,-0.80
2026-06-21 22:19:27.236,991.68,991.34,-0.34,-0.78
2026-06-21 22:19:27.869,991.70,991.34,-0.36,-0.80
2026-06-21 22:19:28.500,991.68,991.33,-0.35,-0.79
2026-06-21 22:19:29.133,991.68,991.32,-0.36,-0.80
2026-06-21 22:19:29.765,991.68,991.33,-0.35,-0.78
