timestamp,power
2026-06-25 14:37:07.500,0
2026-06-25 14:37:08.294,0
2026-06-25 14:37:09.288,0
2026-06-25 14:37:10.481,0
2026-06-25 14:37:11.277,0
2026-06-25 14:37:12.269,0
2026-06-25 14:37:13.263,0
2026-06-25 14:37:14.257,0
2026-06-25 14:37:15.251,0
2026-06-25 14:37:16.244,0
2026-06-25 14:37:17.240,0
2026-06-25 14:37:18.233,0
2026-06-25 14:37:19.028,0
2026-06-25 14:37:20.022,0
2026-06-25 14:37:21.016,0
2026-06-25 14:37:22.010,0
2026-06-25 14:37:23.003,0
2026-06-25 14:37:23.997,0
2026-06-25 14:37:24.991,0
2026-06-25 14:37:25.985,0
2026-06-25 14:37:26.977,0
2026-06-25 14:37:27.971,0
2026-06-25 14:37:28.766,0
2026-06-25 14:37:29.759,211
2026-06-25 14:37:30.753,234
2026-06-25 14:37:31.747,218
2026-06-25 14:37:32.743,166
2026-06-25 14:37:33.736,166
2026-06-25 14:37:34.730,109
2026-06-25 14:37:35.723,125
2026-06-25 14:37:36.717,209
2026-06-25 14:37:37.711,210
2026-06-25 14:37:38.506,194
2026-06-25 14:37:39.498,220
2026-06-25 14:37:40.492,238
2026-06-25 14:37:41.486,264
2026-06-25 14:37:42.480,298
2026-06-25 14:37:43.473,282
2026-06-25 14:37:44.467,301
2026-06-25 14:37:45.461,316
2026-06-25 14:37:46.454,267
2026-06-25 14:37:47.449,202
2026-06-25 14:37:48.243,173
2026-06-25 14:37:49.238,165
2026-06-25 14:37:50.232,150
2026-06-25 14:37:51.425,146
2026-06-25 14:37:52.220,150
2026-06-25 14:37:53.213,161
2026-06-25 14:37:54.206,161
2026-06-25 14:37:55.200,148
2026-06-25 14:37:56.193,135
2026-06-25 14:37:57.187,132
2026-06-25 14:37:57.982,120
2026-06-25 14:37:58.977,123
2026-06-25 14:37:59.971,141
2026-06-25 14:38:00.965,149
2026-06-25 14:38:01.959,156
2026-06-25 14:38:02.952,170
2026-06-25 14:38:03.946,212
2026-06-25 14:38:04.939,255
2026-06-25 14:38:05.934,242
2026-06-25 14:38:06.927,239
2026-06-25 14:38:07.722,237
2026-06-25 14:38:08.716,219
2026-06-25 14:38:09.710,130
2026-06-25 14:38:10.704,44
2026-06-25 14:38:11.697,0
2026-06-25 14:38:12.691,0
2026-06-25 14:38:13.685,0
2026-06-25 14:38:14.679,0
2026-06-25 14:38:15.672,0
2026-06-25 14:38:16.666,0
2026-06-25 14:38:17.461,0
2026-06-25 14:38:18.455,0
2026-06-25 14:38:19.449,0
2026-06-25 14:38:20.442,36
2026-06-25 14:38:21.436,86
2026-06-25 14:38:22.629,144
2026-06-25 14:38:23.424,181
2026-06-25 14:38:24.616,184
2026-06-25 14:38:25.411,163
2026-06-25 14:38:26.405,166
2026-06-25 14:38:27.399,170
2026-06-25 14:38:28.392,166
2026-06-25 14:38:29.188,160
2026-06-25 14:38:30.380,163
2026-06-25 14:38:31.175,158
2026-06-25 14:38:32.169,148
2026-06-25 14:38:33.162,139
2026-06-25 14:38:34.156,126
2026-06-25 14:38:35.150,125
2026-06-25 14:38:36.144,113
2026-06-25 14:38:36.939,0
2026-06-25 14:38:37.932,0
2026-06-25 14:38:38.926,0
2026-06-25 14:38:39.920,0
2026-06-25 14:38:40.914,0
2026-06-25 14:38:41.907,0
2026-06-25 14:38:42.906,0
2026-06-25 14:38:43.894,0
2026-06-25 14:38:44.888,0
2026-06-25 14:38:45.881,0
2026-06-25 14:38:46.676,0
2026-06-25 14:38:47.670,0
2026-06-25 14:38:48.665,0
2026-06-25 14:38:49.659,0
2026-06-25 14:38:50.653,0
2026-06-25 14:38:51.646,0
2026-06-25 14:38:52.640,0
2026-06-25 14:38:53.634,0
2026-06-25 14:38:54.626,274
2026-06-25 14:38:55.620,274
2026-06-25 14:38:56.415,273
2026-06-25 14:38:57.409,243
2026-06-25 14:38:58.402,197
2026-06-25 14:38:59.398,197
2026-06-25 14:39:00.391,157
2026-06-25 14:39:01.385,157
2026-06-25 14:39:02.380,157
2026-06-25 14:39:03.373,0
2026-06-25 14:39:04.366,0
2026-06-25 14:39:05.360,0
2026-06-25 14:39:06.155,0
2026-06-25 14:39:07.149,0
2026-06-25 14:39:08.143,0
2026-06-25 14:39:09.136,0
2026-06-25 14:39:10.130,0
2026-06-25 14:39:11.124,0
2026-06-25 14:39:12.118,0
2026-06-25 14:39:13.111,0
2026-06-25 14:39:14.105,0
2026-06-25 14:39:15.099,0
2026-06-25 14:39:15.894,0
2026-06-25 14:39:16.886,0
2026-06-25 14:39:17.880,0
2026-06-25 14:39:18.874,0
2026-06-25 14:39:19.868,0
2026-06-25 14:39:20.861,0
2026-06-25 14:39:21.865,0
2026-06-25 14:39:22.862,0
2026-06-25 14:39:23.843,0
2026-06-25 14:39:24.836,0
2026-06-25 14:39:25.631,0
2026-06-25 14:39:26.625,0
2026-06-25 14:39:27.621,0
2026-06-25 14:39:28.614,0
2026-06-25 14:39:29.608,0
2026-06-25 14:39:30.602,0
2026-06-25 14:39:31.595,0
2026-06-25 14:39:32.589,0
2026-06-25 14:39:33.581,0
2026-06-25 14:39:34.575,0
2026-06-25 14:39:35.370,0
2026-06-25 14:39:36.364,0
2026-06-25 14:39:37.358,0
2026-06-25 14:39:38.353,0
2026-06-25 14:39:39.346,0
2026-06-25 14:39:40.339,0
2026-06-25 14:39:41.333,0
2026-06-25 14:39:42.326,0
2026-06-25 14:39:43.320,0
2026-06-25 14:39:44.314,0
2026-06-25 14:39:45.308,0
2026-06-25 14:39:46.104,0
2026-06-25 14:39:47.098,0
2026-06-25 14:39:48.092,0
2026-06-25 14:39:49.085,0
2026-06-25 14:39:50.079,0
2026-06-25 14:39:51.073,0
2026-06-25 14:39:52.066,0
2026-06-25 14:39:53.059,0
2026-06-25 14:39:54.053,0
2026-06-25 14:39:55.047,0
2026-06-25 14:39:55.842,0
2026-06-25 14:39:56.835,0
