time,speed
2026-06-26 19:10:53.911,0.00
2026-06-26 19:10:54.411,0.00
2026-06-26 19:10:54.911,0.00
2026-06-26 19:10:55.412,0.00
2026-06-26 19:10:55.912,0.00
2026-06-26 19:10:56.412,0.00
2026-06-26 19:10:56.912,0.00
2026-06-26 19:10:57.413,0.00
2026-06-26 19:10:57.913,0.00
2026-06-26 19:10:58.413,0.00
2026-06-26 19:10:58.914,0.00
2026-06-26 19:10:59.414,0.00
2026-06-26 19:10:59.914,0.00
2026-06-26 19:11:00.415,0.00
2026-06-26 19:11:00.915,0.00
2026-06-26 19:11:01.416,0.00
2026-06-26 19:11:01.916,0.00
2026-06-26 19:11:02.416,0.00
2026-06-26 19:11:02.917,0.00
2026-06-26 19:11:03.417,0.00
2026-06-26 19:11:03.917,0.00
2026-06-26 19:11:04.418,0.00
2026-06-26 19:11:04.918,0.00
2026-06-26 19:11:05.418,0.00
2026-06-26 19:11:05.919,0.00
2026-06-26 19:11:06.419,0.00
2026-06-26 19:11:06.919,0.00
2026-06-26 19:11:07.420,0.00
2026-06-26 19:11:07.920,0.00
2026-06-26 19:11:08.420,0.00
2026-06-26 19:11:08.921,0.00
2026-06-26 19:11:09.421,0.00
2026-06-26 19:11:09.921,0.00
2026-06-26 19:11:10.422,0.00
2026-06-26 19:11:10.922,0.00
2026-06-26 19:11:11.422,0.00
2026-06-26 19:11:11.923,0.00
2026-06-26 19:11:12.423,0.00
2026-06-26 19:11:12.923,0.00
2026-06-26 19:11:13.423,0.00
2026-06-26 19:11:13.924,0.00
2026-06-26 19:11:14.424,0.10
2026-06-26 19:11:14.924,0.10
2026-06-26 19:11:15.424,0.10
2026-06-26 19:11:15.924,0.10
2026-06-26 19:11:16.425,0.10
2026-06-26 19:11:16.925,0.10
2026-06-26 19:11:17.425,0.10
2026-06-26 19:11:17.926,0.10
2026-06-26 19:11:18.426,0.10
2026-06-26 19:11:18.927,0.00
2026-06-26 19:11:19.427,0.00
2026-06-26 19:11:19.927,0.00
2026-06-26 19:11:20.428,0.00
2026-06-26 19:11:20.928,0.00
2026-06-26 19:11:21.428,0.00
2026-06-26 19:11:21.929,0.00
2026-06-26 19:11:22.429,0.00
2026-06-26 19:11:22.929,0.24
2026-06-26 19:11:23.430,4.04
2026-06-26 19:11:23.930,4.02
2026-06-26 19:11:24.430,4.00
2026-06-26 19:11:24.931,3.88
2026-06-26 19:11:25.431,3.88
2026-06-26 19:11:25.931,2.38
2026-06-26 19:11:26.432,2.38
2026-06-26 19:11:26.932,2.39
2026-06-26 19:11:27.432,2.38
2026-06-26 19:11:27.933,2.38
2026-06-26 19:11:28.433,2.38
2026-06-26 19:11:28.933,2.38
2026-06-26 19:11:29.434,2.38
2026-06-26 19:11:29.934,2.38
2026-06-26 19:11:30.434,2.38
2026-06-26 19:11:30.935,2.38
2026-06-26 19:11:31.435,2.38
2026-06-26 19:11:31.935,2.38
2026-06-26 19:11:32.436,0.00
2026-06-26 19:11:32.936,0.00
2026-06-26 19:11:33.436,0.00
2026-06-26 19:11:33.937,0.00
2026-06-26 19:11:34.437,0.00
2026-06-26 19:11:34.937,0.00
2026-06-26 19:11:35.438,0.00
2026-06-26 19:11:35.938,0.00
2026-06-26 19:11:36.438,0.00
2026-06-26 19:11:36.938,0.00
2026-06-26 19:11:37.438,0.00
2026-06-26 19:11:37.939,0.00
2026-06-26 19:11:38.439,0.00
2026-06-26 19:11:38.939,0.19
2026-06-26 19:11:39.439,0.19
2026-06-26 19:11:39.940,0.19
2026-06-26 19:11:40.440,1.57
2026-06-26 19:11:40.940,1.57
2026-06-26 19:11:41.441,1.57
2026-06-26 19:11:41.941,1.57
2026-06-26 19:11:42.441,1.57
2026-06-26 19:11:42.942,1.57
2026-06-26 19:11:43.442,1.57
2026-06-26 19:11:43.942,1.57
2026-06-26 19:11:44.443,0.54
2026-06-26 19:11:44.943,0.54
2026-06-26 19:11:45.444,0.54
2026-06-26 19:11:45.944,0.54
2026-06-26 19:11:46.444,0.54
2026-06-26 19:11:46.945,0.54
2026-06-26 19:11:47.445,0.54
2026-06-26 19:11:47.945,0.54
2026-06-26 19:11:48.446,0.54
2026-06-26 19:11:48.946,0.00
2026-06-26 19:11:49.446,0.00
2026-06-26 19:11:49.947,0.00
2026-06-26 19:11:50.447,0.00
2026-06-26 19:11:50.947,0.00
2026-06-26 19:11:51.448,0.00
2026-06-26 19:11:51.948,0.00
2026-06-26 19:11:52.448,0.00
2026-06-26 19:11:52.949,0.00
2026-06-26 19:11:53.449,0.00
2026-06-26 19:11:53.949,0.00
2026-06-26 19:11:54.450,0.00
2026-06-26 19:11:54.950,0.00
2026-06-26 19:11:55.450,0.00
2026-06-26 19:11:55.951,0.00
2026-06-26 19:11:56.451,0.17
2026-06-26 19:11:56.951,3.34
2026-06-26 19:11:57.452,3.34
2026-06-26 19:11:57.952,3.34
2026-06-26 19:11:58.452,3.26
2026-06-26 19:11:58.953,3.32
2026-06-26 19:11:59.453,3.30
2026-06-26 19:11:59.953,3.30
2026-06-26 19:12:00.454,3.25
2026-06-26 19:12:00.954,3.25
2026-06-26 19:12:01.454,3.25
2026-06-26 19:12:01.955,3.25
2026-06-26 19:12:02.455,3.25
2026-06-26 19:12:02.955,3.25
2026-06-26 19:12:03.456,3.25
2026-06-26 19:12:03.956,3.25
2026-06-26 19:12:04.456,3.25
2026-06-26 19:12:04.957,0.00
2026-06-26 19:12:05.457,0.00
2026-06-26 19:12:05.957,0.00
2026-06-26 19:12:06.458,0.00
2026-06-26 19:12:06.958,0.00
