timestamp,altitude_m,pressure_hPa,temp_c
2026-06-20 08:01:56.625,234.25,993.65,23.50
2026-06-20 08:01:57.837,233.38,993.68,23.50
2026-06-20 08:01:59.48,233.19,993.68,23.56
2026-06-20 08:02:00.259,233.32,993.68,23.56
2026-06-20 08:02:01.470,233.32,993.70,23.56
2026-06-20 08:02:02.697,233.07,993.68,23.56
2026-06-20 08:02:03.911,233.19,993.70,23.56
2026-06-20 08:02:05.126,233.00,993.67,23.56
2026-06-20 08:02:06.346,233.07,993.68,23.62
2026-06-20 08:02:07.566,233.25,993.70,23.56
2026-06-20 08:02:08.783,233.32,993.68,23.56
2026-06-20 08:02:09.994,233.32,993.67,23.56
