timestamp,altitude_m,pressure_hPa,temp_c
2026-06-18 11:11:24,259.00,990.70,29.50
2026-06-18 11:11:24,259.38,990.70,29.62
2026-06-18 11:11:24,259.50,990.71,29.69
2026-06-18 11:11:24,259.13,990.73,29.75
2026-06-18 11:11:24,259.19,990.75,29.69
2026-06-18 11:11:24,258.75,990.75,29.56
2026-06-18 11:11:24,258.75,990.75,29.56
2026-06-18 11:11:24,259.25,990.72,29.75
2026-06-18 11:11:24,259.50,990.67,30.00
2026-06-18 11:11:24,259.44,990.73,30.12
2026-06-18 11:11:24,259.07,990.74,30.19
2026-06-18 11:11:24,259.25,990.68,30.25
2026-06-18 11:11:24,258.82,990.99,30.44
2026-06-18 11:11:24,259.07,990.75,30.56
2026-06-18 11:11:24,259.44,990.96,30.69
2026-06-18 11:11:24,259.13,990.69,30.88
2026-06-18 11:12:24,258.82,990.75,31.12
2026-06-18 11:12:24,258.38,990.74,31.12
2026-06-18 11:12:24,258.94,990.74,31.06
2026-06-18 11:12:24,259.32,990.69,31.00
2026-06-18 11:12:24,259.57,990.64,31.00
2026-06-18 11:12:24,259.69,990.67,30.81
2026-06-18 11:12:24,258.88,990.70,30.69
2026-06-18 11:12:24,259.13,990.71,30.50
2026-06-18 11:12:24,259.07,990.73,30.31
2026-06-18 11:12:24,258.75,990.79,30.25
2026-06-18 11:12:24,258.32,990.80,30.25
2026-06-18 11:12:24,258.25,990.81,30.25
2026-06-18 11:12:24,258.38,990.83,30.25
2026-06-18 11:12:24,258.25,990.78,30.19
2026-06-18 11:12:24,259.13,990.71,30.12
2026-06-18 11:12:24,259.00,990.70,30.00
2026-06-18 11:12:24,259.25,990.70,29.94
2026-06-18 11:12:24,259.13,990.71,29.81
2026-06-18 11:12:24,258.69,990.77,29.81
2026-06-18 11:12:24,258.69,990.78,29.69
2026-06-18 11:12:24,258.50,990.77,29.56
2026-06-18 11:12:24,258.57,990.78,29.50
2026-06-18 11:12:24,258.25,990.82,29.38
2026-06-18 11:12:24,258.19,990.79,29.31
2026-06-18 11:12:24,258.69,990.79,29.25
2026-06-18 11:12:24,258.82,990.76,29.12
2026-06-18 11:12:24,259.44,990.68,29.00
2026-06-18 11:12:24,259.69,990.65,28.94
2026-06-18 11:13:24,259.57,990.65,28.88
2026-06-18 11:13:24,259.63,990.66,28.81
2026-06-18 11:13:24,259.38,990.70,28.75
2026-06-18 11:13:24,259.63,990.68,28.69
2026-06-18 11:13:24,259.57,990.70,28.62
2026-06-18 11:13:24,259.32,990.70,28.62
2026-06-18 11:13:24,259.44,990.69,28.56
2026-06-18 11:13:24,259.38,990.69,28.50
2026-06-18 11:13:24,259.69,990.67,28.50
2026-06-18 11:13:24,259.94,990.65,28.44
2026-06-18 11:13:24,259.50,990.68,28.38
2026-06-18 11:13:24,259.44,990.63,28.31
2026-06-18 11:13:24,259.44,990.66,28.31
2026-06-18 11:13:24,259.25,990.68,28.25
2026-06-18 11:13:24,259.13,990.72,28.25
2026-06-18 11:13:24,258.88,990.74,28.19
2026-06-18 11:13:24,258.94,990.75,28.19
2026-06-18 11:13:24,258.94,990.74,28.12
2026-06-18 11:13:24,258.63,990.77,28.12
2026-06-18 11:13:24,259.00,990.76,28.06
2026-06-18 11:13:24,259.07,990.79,28.06
2026-06-18 11:13:24,258.88,990.75,28.06
2026-06-18 11:13:24,262.13,990.50,28.06
2026-06-18 11:13:24,259.00,990.72,28.06
2026-06-18 11:13:24,259.07,990.69,28.06
2026-06-18 11:13:24,259.07,990.71,28.06
2026-06-18 11:13:24,259.32,990.72,28.06
2026-06-18 11:13:24,259.32,990.72,28.06
2026-06-18 11:14:24,259.25,990.70,28.06
2026-06-18 11:14:24,259.13,990.73,28.06
2026-06-18 11:14:24,259.00,990.72,28.12
2026-06-18 11:14:24,259.44,990.73,28.06
2026-06-18 11:14:24,259.32,990.74,28.06
2026-06-18 11:14:24,259.25,990.74,28.06
2026-06-18 11:14:24,259.00,991.02,28.06
2026-06-18 11:14:24,259.19,990.74,28.06
2026-06-18 11:14:24,258.82,990.75,28.06
2026-06-18 11:14:24,258.82,990.76,28.06
2026-06-18 11:14:24,258.75,990.73,28.06
2026-06-18 11:14:24,259.00,990.72,28.06
2026-06-18 11:14:24,259.07,990.75,28.06
2026-06-18 11:14:24,259.25,990.73,28.06
2026-06-18 11:14:24,259.25,990.73,28.06
2026-06-18 11:14:24,258.94,990.74,28.06
2026-06-18 11:14:24,258.88,990.74,28.06
2026-06-18 11:14:24,258.82,990.76,28.06
2026-06-18 11:14:24,258.57,990.78,28.06
2026-06-18 11:14:24,259.00,990.78,28.06
2026-06-18 11:14:24,259.25,990.75,28.06
2026-06-18 11:14:24,258.88,990.71,28.06
2026-06-18 11:14:24,258.82,990.75,28.06
2026-06-18 11:14:24,258.94,990.74,28.06
2026-06-18 11:14:24,259.13,990.76,28.06
2026-06-18 11:14:24,259.00,990.75,28.12
2026-06-18 11:14:24,259.00,990.75,28.12
2026-06-18 11:15:24,259.00,990.75,28.12
2026-06-18 11:15:24,259.00,990.71,28.12
2026-06-18 11:15:24,258.94,990.74,28.12
2026-06-18 11:15:24,258.82,990.77,28.12
2026-06-18 11:15:24,258.63,990.75,28.12
2026-06-18 11:15:24,258.57,990.79,28.12
