timestamp,pressure_bag,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-27 17:33:19.990,-0.23,993.70,99393.10,4886.19,0.00,2.29,-0.27,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.000,-0.23,993.70,99393.10,4886.19,0.00,2.29,-0.27,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.010,-0.23,993.70,99393.10,4886.19,0.00,2.29,-0.28,9.40,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.020,-0.23,993.70,99393.10,4886.19,0.00,2.32,-0.28,9.39,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.030,-0.23,993.70,99393.10,4886.19,0.00,2.32,-0.28,9.39,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.040,-0.23,993.70,99393.10,4886.19,0.00,2.31,-0.27,9.40,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.050,993.65,993.70,4.75,2.89,0.00,2.31,-0.27,9.40,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.060,993.65,993.70,4.75,2.89,0.00,2.30,-0.27,9.37,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.070,993.65,993.70,4.75,2.89,0.00,2.30,-0.27,9.37,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.080,993.65,993.70,4.75,2.89,0.00,2.31,-0.29,9.38,-0.00,0.00,0.00,0
2026-06-27 17:33:20.090,993.65,993.70,4.75,2.89,0.00,2.31,-0.29,9.38,-0.00,0.00,0.00,0
2026-06-27 17:33:20.100,993.65,993.70,4.75,2.89,0.00,2.32,-0.30,9.36,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.110,993.65,993.70,4.75,2.89,0.00,2.34,-0.26,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.120,993.65,993.70,4.75,2.89,0.00,2.30,-0.30,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.130,993.65,993.70,4.75,2.89,0.00,2.30,-0.30,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.140,993.65,993.69,3.70,2.55,0.00,2.30,-0.28,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.150,993.65,993.69,3.70,2.55,0.00,2.31,-0.28,9.40,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.160,993.65,993.69,3.70,2.55,0.00,2.31,-0.28,9.40,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.170,993.65,993.69,3.70,2.55,0.00,2.32,-0.28,9.38,-0.00,0.00,0.00,0
2026-06-27 17:33:20.180,993.65,993.69,3.70,2.55,0.00,2.32,-0.28,9.36,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.190,993.65,993.69,3.70,2.55,0.00,2.32,-0.28,9.36,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.200,993.65,993.69,3.70,2.55,0.00,2.32,-0.27,9.40,-0.01,0.00,0.00,0
2026-06-27 17:33:20.210,993.65,993.69,3.70,2.55,0.00,2.30,-0.29,9.39,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.220,993.67,993.69,2.30,2.01,0.00,2.30,-0.29,9.39,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.230,993.67,993.69,2.30,2.01,0.00,2.31,-0.27,9.37,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.240,993.67,993.69,2.30,2.01,0.00,2.33,-0.28,9.39,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.250,993.67,993.69,2.30,2.01,0.00,2.33,-0.28,9.39,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.260,993.67,993.69,2.30,2.01,0.00,2.31,-0.29,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.270,993.67,993.69,2.30,2.01,0.00,2.31,-0.27,9.40,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.280,993.67,993.69,2.30,2.01,0.00,2.31,-0.29,9.37,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.290,993.67,993.69,2.30,2.01,0.00,2.31,-0.29,9.37,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.300,993.67,993.69,2.30,2.01,0.00,2.31,-0.30,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.310,993.67,993.69,2.44,2.07,0.00,2.32,-0.28,9.37,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.320,993.67,993.69,2.44,2.07,0.00,2.32,-0.28,9.37,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.330,993.67,993.69,2.44,2.07,0.00,2.30,-0.29,9.38,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.340,993.67,993.69,2.44,2.07,0.00,2.30,-0.26,9.40,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.350,993.67,993.69,2.44,2.07,0.00,2.32,-0.28,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.360,993.67,993.69,2.44,2.07,0.00,2.32,-0.28,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.370,993.67,993.69,2.44,2.07,0.00,2.32,-0.29,9.37,-0.00,0.00,0.00,0
2026-06-27 17:33:20.380,993.67,993.69,2.44,2.07,0.00,2.31,-0.28,9.38,0.00,0.00,0.00,0
2026-06-27 17:33:20.390,993.64,993.69,4.79,2.91,0.00,2.32,-0.29,9.40,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.400,993.64,993.69,4.79,2.91,0.00,2.32,-0.29,9.40,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.410,993.64,993.69,4.79,2.91,0.00,2.31,-0.29,9.39,0.00,-0.00,0.00,0
2026-06-27 17:33:20.420,993.64,993.69,4.79,2.91,0.00,2.31,-0.27,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.430,993.64,993.69,4.79,2.91,0.00,2.31,-0.27,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.440,993.64,993.69,4.79,2.91,0.00,2.31,-0.26,9.39,-0.00,0.00,0.00,0
2026-06-27 17:33:20.450,993.64,993.69,4.79,2.91,0.00,2.30,-0.29,9.39,0.00,-0.00,-0.00,0
2026-06-27 17:33:20.460,993.64,993.69,4.79,2.91,0.00,2.30,-0.31,9.38,-0.00,0.00,0.00,0
2026-06-27 17:33:20.470,993.64,993.69,4.97,2.96,0.00,2.30,-0.31,9.38,-0.00,0.00,0.00,0
2026-06-27 17:33:20.480,993.64,993.69,4.97,2.96,0.00,2.33,-0.28,9.39,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.490,993.64,993.69,4.97,2.96,0.00,2.32,-0.28,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.500,993.64,993.69,4.97,2.96,0.00,2.32,-0.28,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.510,993.64,993.69,4.97,2.96,0.00,2.29,-0.28,9.39,0.00,0.00,0.00,0
2026-06-27 17:33:20.520,993.64,993.69,4.97,2.96,0.00,2.32,-0.29,9.41,0.00,-0.00,0.00,0
2026-06-27 17:33:20.530,993.64,993.69,4.97,2.96,0.00,2.31,-0.28,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.540,993.64,993.69,4.97,2.96,0.00,2.31,-0.28,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.550,993.65,993.69,4.64,2.86,0.00,2.31,-0.27,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.560,993.65,993.69,4.64,2.86,0.00,2.32,-0.29,9.38,0.00,-0.00,-0.00,0
2026-06-27 17:33:20.570,993.65,993.69,4.64,2.86,0.00,2.31,-0.29,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.580,993.65,993.69,4.64,2.86,0.00,2.30,-0.30,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.590,993.65,993.69,4.64,2.86,0.00,2.30,-0.30,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.600,993.65,993.69,4.64,2.86,0.00,2.30,-0.27,9.39,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.610,993.65,993.69,4.64,2.86,0.00,2.30,-0.29,9.41,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.620,993.65,993.69,4.64,2.86,0.00,2.31,-0.29,9.39,0.00,0.00,0.00,0
2026-06-27 17:33:20.630,993.65,993.69,4.64,2.86,0.00,2.31,-0.29,9.39,0.00,0.00,0.00,0
2026-06-27 17:33:20.640,993.65,993.69,4.14,2.70,0.00,2.32,-0.28,9.39,0.00,-0.00,-0.00,0
2026-06-27 17:33:20.650,993.65,993.69,4.14,2.70,0.00,2.32,-0.28,9.38,-0.00,-0.00,0.00,0
2026-06-27 17:33:20.660,993.65,993.69,4.14,2.70,0.00,2.32,-0.30,9.40,0.00,-0.00,0.00,0
2026-06-27 17:33:20.670,993.65,993.69,4.14,2.70,0.00,2.32,-0.30,9.40,0.00,-0.00,0.00,0
2026-06-27 17:33:20.680,993.65,993.69,4.14,2.70,0.00,2.30,-0.29,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.690,993.65,993.69,4.14,2.70,0.00,2.31,-0.28,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.700,993.65,993.69,4.14,2.70,0.00,2.31,-0.29,9.37,0.00,0.00,-0.00,0
2026-06-27 17:33:20.710,993.66,993.69,3.29,2.41,0.00,2.31,-0.29,9.37,0.00,0.00,-0.00,0
2026-06-27 17:33:20.720,993.66,993.69,3.29,2.41,0.00,2.31,-0.28,9.38,-0.00,0.00,-0.00,0
2026-06-27 17:33:20.730,993.66,993.69,3.29,2.41,0.00,2.32,-0.29,9.38,0.00,0.00,0.00,0
2026-06-27 17:33:20.740,993.66,993.69,3.29,2.41,0.00,2.32,-0.29,9.38,0.00,0.00,0.00,0
2026-06-27 17:33:20.750,993.66,993.69,3.29,2.41,0.00,2.30,-0.29,9.40,-0.00,-0.01,-0.00,0
2026-06-27 17:33:20.760,993.66,993.69,3.29,2.41,0.00,2.32,-0.28,9.38,0.00,-0.00,0.00,0
2026-06-27 17:33:20.770,993.66,993.69,3.29,2.41,0.00,2.31,-0.27,9.38,0.00,-0.00,0.00,0
2026-06-27 17:33:20.780,993.66,993.69,3.29,2.41,0.00,2.31,-0.27,9.38,0.00,-0.00,0.00,0
2026-06-27 17:33:20.790,993.66,993.69,3.29,2.41,0.00,2.31,-0.27,9.38,0.00,-0.00,0.00,0
2026-06-27 17:33:20.800,993.66,993.69,3.40,2.45,0.00,2.32,-0.29,9.39,-0.00,0.00,0.00,0
2026-06-27 17:33:20.810,993.66,993.69,3.40,2.45,0.00,2.30,-0.29,9.38,0.00,-0.00,0.00,0
2026-06-27 17:33:20.820,993.66,993.69,3.40,2.45,0.00,2.30,-0.29,9.38,0.00,-0.00,0.00,0
2026-06-27 17:33:20.830,993.66,993.69,3.40,2.45,0.00,2.30,-0.29,9.39,0.00,-0.00,0.00,0
2026-06-27 17:33:20.840,993.66,993.69,3.40,2.45,0.00,2.32,-0.28,9.38,0.00,-0.00,-0.00,0
2026-06-27 17:33:20.850,993.66,993.69,3.40,2.45,0.00,2.32,-0.28,9.39,0.00,0.00,0.00,0
2026-06-27 17:33:20.860,993.66,993.69,3.40,2.45,0.00,2.32,-0.28,9.39,0.00,0.00,0.00,0
2026-06-27 17:33:20.870,993.66,993.69,3.40,2.45,0.00,2.31,-0.27,9.38,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.880,993.65,993.69,4.25,2.74,0.00,2.31,-0.27,9.40,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.890,993.65,993.69,4.25,2.74,0.00,2.32,-0.29,9.38,0.00,0.00,0.00,0
2026-06-27 17:33:20.900,993.65,993.69,4.25,2.74,0.00,2.32,-0.29,9.38,0.00,0.00,0.00,0
2026-06-27 17:33:20.910,993.65,993.69,4.25,2.74,0.00,2.30,-0.30,9.39,0.00,-0.00,-0.00,0
2026-06-27 17:33:20.920,993.65,993.69,4.25,2.74,0.00,2.32,-0.27,9.38,0.00,0.00,0.00,0
2026-06-27 17:33:20.930,993.65,993.69,4.25,2.74,0.00,2.32,-0.27,9.38,0.00,0.00,0.00,0
2026-06-27 17:33:20.940,993.65,993.69,4.25,2.74,0.00,2.31,-0.28,9.41,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.950,993.65,993.69,4.25,2.74,0.00,2.29,-0.29,9.37,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.960,993.65,993.71,6.17,3.30,0.00,2.29,-0.29,9.37,-0.00,-0.00,-0.00,0
2026-06-27 17:33:20.970,993.65,993.71,6.17,3.30,0.00,2.33,-0.27,9.40,0.00,0.00,0.00,0
2026-06-27 17:33:20.980,993.65,993.71,6.17,3.30,0.00,2.32,-0.29,9.38,0.00,-0.00,0.00,0
