timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-25 16:35:41.042,994.80,993.95,-84.90,-12.23,0.00,0.12,0.48,9.34,-0.15,-0.04,0.00,0.00
2026-06-25 16:35:41.424,994.90,994.00,-89.53,-12.56,0.00,0.11,0.45,9.32,-0.00,0.07,-0.19,0.00
2026-06-25 16:35:41.999,994.90,994.05,-84.91,-12.23,0.00,0.12,0.47,9.35,-0.03,-0.12,0.08,0.00
2026-06-25 16:35:42.575,994.89,994.06,-82.72,-12.07,0.00,0.12,0.49,9.32,-0.03,0.03,-0.03,0.00
2026-06-25 16:35:43.149,994.86,994.04,-82.73,-12.07,0.00,0.12,0.49,9.36,0.10,-0.01,0.00,0.00
2026-06-25 16:35:43.727,994.88,994.04,-84.40,-12.19,0.00,0.12,0.48,9.33,-0.05,-0.05,-0.01,0.00
2026-06-25 16:35:44.303,994.89,994.05,-83.81,-12.15,0.00,0.11,0.46,9.34,-0.10,0.04,0.15,0.00
