timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-25 17:00:33.552,994.50,993.81,-69.15,-11.04,0.00,-0.78,-1.33,12.98,-0.06,-0.09,-0.01,0.00
2026-06-25 17:00:33.940,994.59,993.86,-72.87,-11.33,0.00,0.77,0.20,9.38,0.00,0.00,-0.01,0.00
2026-06-25 17:00:34.510,994.58,993.85,-73.16,-11.35,0.00,0.40,0.64,9.21,-0.00,-0.03,0.01,0.00
2026-06-25 17:00:35.088,994.59,993.89,-69.94,-11.10,0.00,1.44,-1.53,10.80,0.02,0.09,0.17,0.00
2026-06-25 17:00:35.660,994.60,993.86,-73.78,-11.40,0.00,-0.09,0.58,9.36,-0.00,-0.03,0.01,0.00
2026-06-25 17:00:36.236,994.58,993.90,-67.77,-10.92,0.00,0.21,0.45,9.31,-0.00,-0.02,0.01,0.00
2026-06-25 17:00:36.809,994.60,993.87,-72.79,-11.32,0.00,0.25,0.44,9.34,0.00,-0.00,-0.00,0.00
2026-06-25 17:00:37.387,994.60,993.88,-71.65,-11.23,0.00,0.28,0.46,9.33,0.00,0.00,-0.00,0.00
2026-06-25 17:00:37.960,994.59,993.87,-71.68,-11.24,0.00,0.28,0.45,9.34,0.00,0.00,0.00,0.00
2026-06-25 17:00:38.532,994.58,993.91,-66.75,-10.84,0.00,0.27,0.46,9.34,-0.00,0.00,0.00,0.00
