timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2026-06-23 20:02:52.616,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.29,-0.00,-0.00,0.00
2026-06-23 20:02:52.619,0.00,991.53,99152.52,nan,0.00,0.66,0.39,9.26,-0.00,-0.00,0.00
2026-06-23 20:02:52.625,0.00,991.53,99152.52,nan,0.00,0.66,0.39,9.26,-0.00,-0.00,0.00
2026-06-23 20:02:52.627,0.00,991.53,99152.52,nan,0.00,0.66,0.37,9.30,0.00,-0.00,-0.00
2026-06-23 20:02:52.629,0.00,991.53,99152.52,nan,0.00,0.66,0.37,9.30,0.00,-0.00,-0.00
2026-06-23 20:02:52.632,0.00,991.53,99152.52,nan,0.00,0.66,0.37,9.30,0.00,-0.00,-0.00
2026-06-23 20:02:52.637,0.00,991.53,99152.52,nan,0.00,0.66,0.37,9.30,0.00,-0.01,0.00
2026-06-23 20:02:52.640,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.28,0.00,-0.01,0.00
2026-06-23 20:02:52.644,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.28,0.00,-0.01,0.00
2026-06-23 20:02:52.646,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.28,-0.00,0.00,-0.00
2026-06-23 20:02:52.648,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.32,-0.00,0.00,-0.00
2026-06-23 20:02:52.650,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.32,-0.00,0.00,-0.00
2026-06-23 20:02:52.656,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.32,-0.00,0.00,-0.00
2026-06-23 20:02:52.657,0.00,991.53,99152.52,nan,0.00,0.66,0.38,9.30,0.00,-0.00,0.00
2026-06-23 20:02:52.658,0.00,991.53,99152.52,nan,0.00,0.66,0.38,9.30,0.00,-0.00,0.00
2026-06-23 20:02:52.659,0.00,991.53,99152.52,nan,0.00,0.66,0.38,9.30,0.00,-0.00,0.00
2026-06-23 20:02:52.661,0.00,991.53,99152.52,nan,0.00,0.66,0.38,9.30,0.00,-0.00,0.00
2026-06-23 20:02:52.666,0.00,991.53,99152.52,nan,0.00,0.66,0.38,9.30,0.00,-0.00,0.00
2026-06-23 20:02:52.667,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.30,-0.00,0.00,0.00
2026-06-23 20:02:52.669,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.30,-0.00,0.00,0.00
2026-06-23 20:02:52.670,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.30,-0.00,0.00,0.00
2026-06-23 20:02:52.673,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.30,-0.00,0.00,0.00
2026-06-23 20:02:52.676,0.00,991.53,99152.52,nan,0.00,0.65,0.38,9.30,0.00,-0.00,0.00
2026-06-23 20:02:52.677,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.679,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.680,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.682,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.686,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.688,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.689,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.690,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.691,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.692,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.696,0.00,991.53,99152.52,nan,0.00,0.67,0.37,9.32,0.00,-0.00,0.00
2026-06-23 20:02:52.697,0.00,991.53,99152.52,nan,0.00,0.66,0.39,9.31,0.00,0.00,-0.00
2026-06-23 20:02:52.698,0.00,991.53,99152.52,nan,0.00,0.66,0.39,9.31,0.00,0.00,-0.00
