timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-25 17:11:46.553,994.63,993.87,-76.32,-11.59,0.00,0.32,0.44,9.35,-0.00,-0.00,0.00,0.00
2026-06-25 17:11:46.933,994.69,993.86,-82.57,-12.06,0.00,0.31,0.44,9.33,0.00,0.00,-0.00,0.00
2026-06-25 17:11:47.511,994.68,993.89,-78.67,-11.77,0.00,0.30,0.45,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:11:48.086,994.66,993.93,-73.72,-11.39,0.00,0.30,0.45,9.35,-0.00,0.00,-0.00,0.00
2026-06-25 17:11:48.663,994.72,993.89,-82.30,-12.04,0.00,0.30,0.46,9.30,0.00,-0.00,0.00,0.00
2026-06-25 17:11:49.239,994.69,993.91,-77.61,-11.69,0.00,0.31,0.45,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:11:49.812,994.73,993.91,-81.76,-12.00,0.00,0.29,0.45,9.32,0.00,-0.00,0.00,0.00
2026-06-25 17:11:50.387,994.74,993.91,-83.19,-12.10,0.00,0.30,0.46,9.34,0.00,-0.00,0.00,0.00
2026-06-25 17:11:50.967,994.70,993.92,-77.76,-11.70,0.00,0.32,0.44,9.32,0.00,0.00,-0.00,0.00
2026-06-25 17:11:51.539,994.68,993.90,-77.83,-11.71,0.00,0.29,0.45,9.34,-0.00,0.00,-0.00,0.00
2026-06-25 17:11:52.301,994.70,993.91,-78.45,-11.77,0.00,0.30,0.43,9.33,0.00,0.00,0.00,0.00
2026-06-25 17:11:52.684,994.70,993.91,-79.04,-11.81,0.00,0.31,0.45,9.33,0.00,0.00,0.00,0.00
2026-06-25 17:11:53.263,994.71,993.88,-82.40,-12.06,0.00,0.32,0.45,9.33,0.00,0.00,0.00,0.00
2026-06-25 17:11:53.835,994.72,993.90,-81.61,-12.00,0.00,0.26,0.51,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:11:54.406,994.68,993.87,-81.02,-11.96,0.00,0.33,0.46,9.33,0.00,0.00,0.00,0.00
2026-06-25 17:11:54.980,994.71,993.99,-72.25,-11.29,0.00,0.31,0.45,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:11:55.558,994.70,995.23,53.52,9.72,0.00,0.33,0.46,9.32,0.00,-0.00,0.00,0.00
2026-06-25 17:11:56.128,994.73,1008.73,1399.71,49.70,0.00,0.31,0.48,9.33,-0.00,-0.00,0.00,0.00
2026-06-25 17:11:56.700,994.71,1002.99,827.33,38.21,0.00,0.33,0.43,9.35,0.00,0.00,-0.00,0.00
2026-06-25 17:11:57.282,994.71,1016.27,2156.14,61.68,0.00,0.35,0.47,9.34,0.00,-0.00,-0.00,0.00
2026-06-25 17:11:58.043,994.71,993.90,-80.63,-11.93,0.00,0.35,0.46,9.33,0.00,0.00,0.00,0.00
2026-06-25 17:11:58.426,994.71,994.61,-9.70,-4.14,0.00,0.31,0.43,9.30,-0.00,0.00,0.00,0.00
2026-06-25 17:11:58.997,994.73,1015.89,2116.44,61.12,0.00,0.32,0.41,9.32,-0.00,0.00,-0.00,0.00
2026-06-25 17:11:59.567,994.72,993.92,-80.10,-11.89,0.00,0.29,0.48,9.35,-0.00,-0.00,0.00,0.00
2026-06-25 17:12:00.137,994.72,993.90,-81.91,-12.02,0.00,0.31,0.48,9.28,-0.00,0.00,0.00,0.00
2026-06-25 17:12:00.708,994.71,994.01,-69.67,-11.09,0.00,0.33,0.48,9.32,0.00,-0.00,-0.00,0.00
2026-06-25 17:12:01.279,994.72,993.93,-79.56,-11.85,0.00,0.33,0.50,9.34,0.00,0.00,0.00,0.00
2026-06-25 17:12:01.850,994.71,1011.61,1690.44,54.62,0.00,0.32,0.42,9.33,-0.00,0.00,-0.00,0.00
2026-06-25 17:12:02.432,994.69,1022.79,2810.51,70.43,0.00,0.34,0.45,9.29,-0.00,-0.00,0.00,0.00
2026-06-25 17:12:03.008,994.71,1022.24,2753.19,69.71,0.00,0.33,0.44,9.34,0.00,-0.00,-0.00,0.00
2026-06-25 17:12:03.779,994.74,993.86,-87.85,-12.45,0.00,0.35,0.45,9.34,0.00,0.00,-0.00,0.00
2026-06-25 17:12:04.164,994.70,993.91,-78.90,-11.80,0.00,0.34,0.45,9.31,-0.00,0.00,-0.00,0.00
2026-06-25 17:12:04.744,994.72,993.91,-81.11,-11.96,0.00,0.38,0.46,9.33,0.00,-0.00,-0.00,0.00
2026-06-25 17:12:05.322,994.70,993.88,-81.83,-12.02,0.00,0.34,0.45,9.33,-0.00,0.00,0.00,0.00
2026-06-25 17:12:05.898,994.74,993.89,-85.13,-12.26,0.00,0.33,0.45,9.33,0.00,-0.00,0.00,0.00
2026-06-25 17:12:06.472,994.70,993.94,-75.94,-11.58,0.00,0.34,0.47,9.33,0.00,0.00,0.00,0.00
2026-06-25 17:12:07.041,994.69,993.89,-79.85,-11.87,0.00,0.34,0.43,9.31,-0.00,-0.00,0.00,0.00
2026-06-25 17:12:07.621,994.70,993.92,-77.79,-11.72,0.00,0.34,0.44,9.30,0.00,-0.00,0.00,0.00
2026-06-25 17:12:08.192,994.76,993.90,-85.70,-12.30,0.00,0.33,0.45,9.31,0.00,-0.00,-0.00,0.00
2026-06-25 17:12:08.761,994.71,993.91,-79.63,-11.86,0.00,0.33,0.45,9.31,0.00,0.00,0.00,0.00
