timestamp,pressure_bag,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-26 18:18:04.008,994.08,994.07,-0.46,-0.89,0.00,1.32,0.25,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.011,994.08,994.07,-0.46,-0.89,0.00,1.32,0.25,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.017,994.08,994.07,-0.46,-0.89,0.00,1.32,0.25,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.018,994.08,994.07,-0.46,-0.89,0.00,1.31,0.26,9.26,-0.00,-0.00,-0.00,0.00
2026-06-26 18:18:04.020,994.08,994.07,-0.46,-0.89,0.00,1.31,0.26,9.26,-0.00,-0.00,-0.00,0.00
2026-06-26 18:18:04.021,994.08,994.07,-0.46,-0.89,0.00,1.31,0.26,9.26,-0.00,-0.00,-0.00,0.00
2026-06-26 18:18:04.023,994.08,994.07,-0.46,-0.89,0.00,1.31,0.26,9.26,-0.00,-0.00,-0.00,0.00
2026-06-26 18:18:04.027,994.08,994.07,-0.46,-0.89,0.00,1.31,0.26,9.26,0.00,0.00,-0.00,0.00
2026-06-26 18:18:04.029,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.21,0.00,0.00,-0.00,0.00
2026-06-26 18:18:04.031,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.21,0.00,0.00,-0.00,0.00
2026-06-26 18:18:04.035,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.21,0.00,0.00,-0.00,0.00
2026-06-26 18:18:04.038,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.19,0.00,0.00,0.00,0.00
2026-06-26 18:18:04.039,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.19,0.00,0.00,0.00,0.00
2026-06-26 18:18:04.041,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.19,0.00,0.00,0.00,0.00
2026-06-26 18:18:04.043,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.19,0.00,0.00,0.00,0.00
2026-06-26 18:18:04.048,994.08,994.07,-0.46,-0.89,0.00,1.32,0.27,9.19,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.050,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.051,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.052,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.053,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.057,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.22,-0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.059,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.060,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.065,994.08,994.07,-0.46,-0.89,0.00,1.32,0.26,9.24,0.00,-0.00,0.00,0.00
2026-06-26 18:18:04.068,994.08,994.07,-0.46,-0.89,0.00,1.31,0.28,9.22,-0.00,0.00,0.00,0.00
2026-06-26 18:18:04.147,994.08,994.08,-0.28,-0.70,0.00,1.31,0.26,9.21,-0.00,0.00,-0.00,0.00
2026-06-26 18:18:04.150,994.08,994.08,-0.28,-0.70,0.00,1.34,0.25,9.24,-0.00,0.00,0.00,0.00
2026-06-26 18:18:04.152,994.08,994.08,-0.28,-0.70,0.00,1.34,0.25,9.24,-0.00,0.00,0.00,0.00
2026-06-26 18:18:04.154,994.08,994.08,-0.28,-0.70,0.00,1.34,0.25,9.24,-0.00,0.00,0.00,0.00
2026-06-26 18:18:04.161,994.08,994.08,-0.28,-0.70,0.00,1.34,0.25,9.24,-0.00,0.00,-0.00,0.00
2026-06-26 18:18:04.168,994.08,994.08,-0.28,-0.70,0.00,1.34,0.26,9.21,-0.00,0.00,-0.00,0.00
2026-06-26 18:18:04.170,994.08,994.08,-0.28,-0.70,0.00,1.33,0.26,9.23,0.00,0.00,0.00,0.00
2026-06-26 18:18:04.175,994.08,994.08,-0.28,-0.70,0.00,1.33,0.26,9.23,0.00,0.00,0.00,0.00
2026-06-26 18:18:04.178,994.08,994.08,-0.28,-0.70,0.00,1.32,0.26,9.24,-0.00,-0.00,0.00,0.00
