timestamp,pressure_bag,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-26 16:50:10.702,994.34,994.33,-1.00,-1.33,0.00,1.00,0.29,9.31,-0.00,-0.00,0.00,0.00
2026-06-26 16:50:10.904,994.37,994.40,3.34,2.42,0.00,1.01,0.29,9.29,-0.00,-0.00,0.00,0.00
2026-06-26 16:50:11.285,994.36,994.39,2.63,2.15,0.00,1.02,0.30,9.28,-0.00,0.00,-0.00,0.00
2026-06-26 16:50:11.674,994.32,994.38,5.43,3.09,0.00,1.00,0.30,9.27,0.00,0.00,0.00,0.00
2026-06-26 16:50:12.062,994.36,994.39,3.95,2.64,0.00,0.99,0.31,9.26,-0.00,0.00,0.00,0.00
2026-06-26 16:50:12.455,994.36,994.40,3.87,2.61,0.00,1.00,0.32,9.28,0.00,0.00,-0.00,0.00
2026-06-26 16:50:12.846,994.39,994.38,-0.98,-1.31,0.00,1.00,0.29,9.28,0.00,-0.00,0.00,0.00
2026-06-26 16:50:13.235,994.37,994.40,3.54,2.50,0.00,0.98,0.31,9.27,0.00,0.00,-0.00,0.00
2026-06-26 16:50:13.632,994.34,994.40,5.35,3.07,0.00,1.02,0.30,9.29,-0.00,-0.00,0.00,0.00
2026-06-26 16:50:14.023,994.32,994.43,11.44,4.49,0.00,0.97,0.30,9.28,0.00,0.00,0.00,0.00
2026-06-26 16:50:14.599,994.37,994.40,3.48,2.48,0.00,1.01,0.31,9.28,0.00,-0.00,0.00,0.00
2026-06-26 16:50:14.795,994.37,994.38,1.75,1.76,0.00,1.00,0.30,9.32,0.00,0.00,-0.00,0.00
2026-06-26 16:50:15.181,994.38,994.42,3.48,2.48,0.00,0.99,0.30,9.27,-0.00,-0.00,0.00,0.00
2026-06-26 16:50:15.569,994.31,994.41,9.97,4.20,0.00,1.01,0.30,9.26,0.00,0.00,0.00,0.00
2026-06-26 16:50:15.956,994.34,994.40,6.18,3.30,0.00,1.00,0.28,9.27,0.00,-0.00,0.00,0.00
2026-06-26 16:50:16.346,994.33,994.39,6.28,3.33,0.00,1.00,0.30,9.29,-0.00,0.00,-0.00,0.00
2026-06-26 16:50:16.735,994.34,994.44,10.62,4.33,0.00,0.97,0.31,9.26,0.00,0.00,0.00,0.00
2026-06-26 16:50:17.121,994.35,994.39,4.04,2.67,0.00,1.02,0.27,9.28,-0.00,0.00,0.00,0.00
2026-06-26 16:50:17.514,994.33,994.44,11.06,4.42,0.00,1.01,0.29,9.28,0.00,0.00,0.00,0.00
