timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,power
2026-06-25 17:32:46.549,994.72,993.90,-81.80,-12.03,0.00,0.66,0.42,9.30,0.00,-0.00,-0.00,0.00
2026-06-25 17:32:47.122,994.75,993.90,-85.45,-12.30,0.00,0.66,0.42,9.31,0.00,0.00,-0.00,0.00
2026-06-25 17:32:47.692,994.73,993.90,-82.90,-12.11,0.00,0.66,0.41,9.31,0.00,0.00,0.00,0.00
2026-06-25 17:32:48.461,994.73,993.93,-80.57,-11.94,0.00,0.65,0.42,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:32:48.842,994.75,993.94,-80.80,-11.96,0.00,0.65,0.40,9.31,0.00,0.00,-0.00,0.00
2026-06-25 17:32:49.422,994.75,993.90,-84.95,-12.26,0.00,0.66,0.42,9.28,0.00,0.00,0.00,0.00
2026-06-25 17:32:49.990,994.75,993.88,-87.23,-12.43,0.00,0.66,0.42,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:32:50.564,994.75,993.89,-86.88,-12.40,0.00,0.65,0.43,9.30,0.00,-0.00,0.00,0.00
2026-06-25 17:32:51.137,994.73,993.89,-83.96,-12.19,0.00,0.65,0.43,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:32:51.717,994.75,993.89,-85.99,-12.34,0.00,0.66,0.44,9.32,0.00,0.00,-0.00,0.00
2026-06-25 17:32:52.289,994.76,993.87,-88.59,-12.52,0.00,0.66,0.42,9.28,-0.00,-0.00,0.00,0.00
2026-06-25 17:32:52.863,994.74,993.91,-82.72,-12.10,0.00,0.65,0.41,9.31,0.00,0.00,-0.00,0.00
2026-06-25 17:32:53.433,994.77,993.90,-86.83,-12.40,0.00,0.66,0.42,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:32:54.193,994.73,993.93,-79.43,-11.86,0.00,0.65,0.43,9.29,0.00,-0.00,0.00,0.00
2026-06-25 17:32:54.583,994.77,993.97,-79.90,-11.89,0.00,0.66,0.42,9.29,-0.00,-0.00,0.00,0.00
2026-06-25 17:32:55.153,994.75,993.89,-85.08,-12.27,0.00,0.66,0.42,9.29,-0.00,-0.00,-0.00,0.00
2026-06-25 17:32:55.726,994.75,993.90,-85.07,-12.27,0.00,0.66,0.43,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:32:56.297,994.74,993.93,-80.85,-11.96,0.00,0.65,0.45,9.29,-0.00,0.00,0.00,0.00
2026-06-25 17:32:56.871,994.73,993.88,-84.91,-12.26,0.00,0.66,0.43,9.32,0.00,-0.00,0.00,0.00
2026-06-25 17:32:57.450,994.73,993.92,-80.83,-11.96,0.00,0.67,0.42,9.30,0.00,0.00,0.00,0.00
2026-06-25 17:32:58.022,994.74,993.89,-85.35,-12.29,0.00,0.66,0.42,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:32:58.601,994.76,993.89,-86.70,-12.39,0.00,0.67,0.45,9.31,-0.00,0.00,0.00,0.00
2026-06-25 17:32:59.183,994.77,993.91,-86.74,-12.39,0.00,0.66,0.43,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:32:59.945,994.74,993.89,-85.31,-12.29,0.00,0.67,0.43,9.29,0.00,0.00,-0.00,0.00
2026-06-25 17:33:00.340,994.75,993.92,-83.18,-12.13,0.00,0.66,0.43,9.27,0.00,-0.00,0.00,0.00
2026-06-25 17:33:00.908,994.71,993.90,-81.51,-12.01,0.00,0.66,0.43,9.32,0.00,0.00,0.00,0.00
2026-06-25 17:33:01.488,994.73,993.94,-78.94,-11.82,0.00,0.66,0.41,9.27,0.00,0.00,0.00,0.00
2026-06-25 17:33:02.069,994.76,993.89,-86.72,-12.39,0.00,0.66,0.46,9.32,0.00,-0.00,0.00,0.00
2026-06-25 17:33:02.646,994.75,993.90,-84.03,-12.20,0.00,0.65,0.42,9.28,0.00,0.00,0.00,0.00
