timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est,speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2026-06-23 17:35:21.971,989.92,989.21,-71.31,-11.25,0.00,1.23,0.38,9.23,0.00,-0.00,-0.00
2026-06-23 17:35:22.852,989.95,989.23,-71.65,-11.28,0.00,1.24,0.37,9.23,-0.00,0.00,0.00
2026-06-23 17:35:23.734,989.96,989.24,-72.73,-11.37,0.00,1.06,0.45,9.17,0.00,-0.00,-0.00
2026-06-23 17:35:24.614,989.96,989.27,-68.95,-11.07,0.00,-0.13,-0.07,9.35,0.02,0.18,-0.03
2026-06-23 17:35:25.497,989.96,989.27,-68.69,-11.05,0.00,-0.37,0.23,9.33,0.00,0.02,0.01
2026-06-23 17:35:26.378,989.93,989.26,-66.66,-10.89,0.00,-1.43,0.73,9.33,-0.01,-0.05,0.01
2026-06-23 17:35:27.261,989.93,989.24,-68.93,-11.07,0.00,-0.51,0.33,9.39,0.00,0.01,0.01
2026-06-23 17:35:28.143,989.90,989.24,-66.46,-10.87,0.00,-0.20,-0.26,9.39,-0.00,-0.05,-0.00
2026-06-23 17:35:29.017,989.91,989.26,-64.79,-10.74,0.00,0.13,1.24,9.29,0.01,0.05,0.01
2026-06-23 17:35:29.899,989.94,989.26,-67.54,-10.96,0.00,0.01,0.30,9.36,-0.01,-0.05,-0.03
2026-06-23 17:35:30.780,989.90,989.28,-62.05,-10.51,0.00,0.23,0.43,9.11,0.01,0.05,0.00
2026-06-23 17:35:31.661,989.92,989.25,-67.53,-10.96,0.00,0.08,0.74,9.27,-0.00,-0.01,-0.02
2026-06-23 17:35:32.542,989.95,989.28,-66.79,-10.90,0.00,-0.50,-0.81,9.54,0.00,0.02,0.01
2026-06-23 17:35:33.423,989.95,989.29,-65.74,-10.82,0.00,-0.06,0.70,9.31,0.01,0.07,-0.01
2026-06-23 17:35:34.305,989.96,989.27,-68.81,-11.07,0.00,0.06,0.45,9.28,-0.00,-0.02,0.01
2026-06-23 17:35:35.187,989.97,989.29,-67.97,-11.00,0.00,-0.21,0.59,9.32,0.00,-0.01,-0.00
2026-06-23 17:35:36.069,990.01,989.28,-73.10,-11.41,0.00,-0.16,0.54,9.33,0.00,-0.01,-0.00
2026-06-23 17:35:36.951,989.99,989.27,-71.80,-11.30,0.00,0.09,0.45,9.35,0.00,-0.01,-0.00
2026-06-23 17:35:37.834,989.99,989.29,-69.58,-11.13,0.00,-0.01,0.52,9.25,0.00,-0.01,0.00
2026-06-23 17:35:38.702,990.00,989.32,-68.04,-11.00,0.00,0.45,0.57,9.30,-0.01,-0.13,0.01
2026-06-23 17:35:39.587,989.98,989.30,-67.35,-10.95,0.00,0.71,0.46,9.34,0.00,-0.02,0.00
2026-06-23 17:35:40.468,989.99,989.27,-72.07,-11.33,0.00,0.67,0.44,9.27,0.00,-0.00,-0.00
