timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-19 15:11:24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-19 15:11:24,-0.14,2.20,8.63,-0.16,0.42,0.02,10.19,-22.75,-41.38
2026-06-19 15:11:24,-1.81,2.82,-3.34,-1.30,0.99,-0.67,11.50,-32.75,-52.38
2026-06-19 15:11:24,0.03,0.53,9.36,0.79,-0.03,0.31,11.88,-27.50,-59.69
2026-06-19 15:11:24,0.68,5.81,7.44,0.39,-0.02,-0.11,3.50,-65.25,-36.25
2026-06-19 15:11:24,0.01,-0.27,9.35,0.12,-0.01,0.23,11.19,-28.88,-70.19
2026-06-19 15:11:24,0.04,-0.28,9.36,0.01,-0.00,0.00,10.50,-28.88,-70.56
2026-06-19 15:11:24,0.04,-0.30,9.37,-0.00,0.00,-0.00,10.88,-28.06,-72.19
2026-06-19 15:11:24,-0.03,-0.65,9.36,-0.01,0.00,-0.00,11.25,-24.75,-71.75
2026-06-19 15:11:24,-0.03,-0.68,9.35,-0.00,-0.00,0.00,11.19,-23.56,-72.69
2026-06-19 15:11:24,0.00,-0.13,9.35,0.20,0.00,-0.01,10.06,-30.38,-68.56
2026-06-19 15:11:24,0.03,0.86,9.25,0.12,-0.00,-0.01,10.00,-39.38,-65.50
2026-06-19 15:11:24,0.05,1.02,9.22,-0.09,-0.00,0.05,10.75,-39.88,-64.69
2026-06-19 15:11:24,0.06,0.60,9.28,-0.01,-0.01,0.00,10.00,-35.38,-67.56
2026-06-19 15:11:24,-0.24,0.77,9.67,-0.35,0.13,0.13,10.88,-34.56,-66.00
2026-06-19 15:11:24,0.12,-0.20,9.09,0.10,0.05,0.06,10.38,-27.88,-70.19
2026-06-19 15:11:24,0.65,-4.89,8.15,-0.12,0.13,0.16,5.38,6.19,-74.00
2026-06-19 15:11:24,1.10,-5.99,8.69,-0.43,-0.19,0.01,4.06,10.56,-71.50
2026-06-19 15:11:24,0.07,-3.72,9.07,2.10,0.12,0.51,3.75,2.56,-76.25
2026-06-19 15:11:24,0.07,-1.82,9.22,-0.21,0.02,-0.26,5.56,-15.75,-74.88
2026-06-19 15:11:24,0.13,0.14,9.42,0.09,0.12,-0.07,3.25,-30.88,-69.50
2026-06-19 15:11:24,0.02,0.53,9.35,-0.01,0.00,0.01,5.88,-30.50,-71.06
2026-06-19 15:11:24,0.01,0.81,9.37,0.24,-0.00,0.00,5.56,-32.00,-69.88
2026-06-19 15:11:24,0.03,0.99,9.34,0.00,0.00,-0.00,5.19,-35.00,-68.19
2026-06-19 15:11:24,0.05,0.20,9.39,-0.27,-0.00,-0.01,5.88,-32.00,-70.00
2026-06-19 15:11:24,-0.10,-0.86,9.34,-0.03,-0.03,-0.02,7.06,-20.38,-73.69
2026-06-19 15:11:24,-0.15,-0.45,9.38,0.35,0.07,0.02,6.69,-24.06,-72.00
2026-06-19 15:11:24,-0.19,0.29,9.38,0.01,0.00,0.00,7.06,-29.69,-70.25
2026-06-19 15:11:24,-0.12,0.45,9.36,0.00,-0.01,0.00,7.38,-30.88,-70.00
2026-06-19 15:11:24,-0.08,0.61,9.35,0.01,-0.01,0.00,5.56,-32.38,-69.19
2026-06-19 15:11:24,-0.25,-0.10,9.37,-0.09,0.04,0.03,7.75,-29.69,-70.38
2026-06-19 15:11:24,-0.24,-0.29,9.36,0.00,-0.00,0.00,7.69,-26.69,-71.56
2026-06-19 15:11:24,-0.19,0.06,9.35,0.02,-0.00,0.00,6.56,-27.88,-70.75
2026-06-19 15:11:24,-0.23,0.11,9.39,-0.00,-0.00,0.00,7.00,-28.19,-71.56
2026-06-19 15:11:24,-0.20,0.13,9.38,-0.02,-0.01,0.00,7.25,-28.56,-71.19
2026-06-19 15:11:24,-0.22,0.20,9.38,0.01,0.01,-0.00,6.56,-28.56,-70.38
2026-06-19 15:11:24,-0.20,0.10,9.37,-0.00,0.00,-0.00,6.19,-29.00,-70.75
2026-06-19 15:11:24,-0.20,0.16,9.38,-0.05,-0.04,0.00,6.56,-28.19,-71.19
2026-06-19 15:11:24,-0.91,-0.39,9.34,-0.06,-0.09,0.00,12.19,-27.50,-69.25
2026-06-19 15:11:24,-0.69,-0.86,9.35,-0.05,-0.00,0.00,9.19,-24.50,-70.88
2026-06-19 15:11:24,-0.62,-1.11,9.33,-0.02,-0.01,0.00,9.56,-22.19,-72.56
2026-06-19 15:11:24,-0.59,-1.35,9.30,-0.02,0.00,0.00,10.19,-18.75,-70.88
2026-06-19 15:11:24,-0.39,-1.50,9.15,-0.04,-0.01,-0.00,8.56,-18.00,-70.56
2026-06-19 15:11:24,-0.24,-2.06,9.00,-0.37,-0.08,-0.01,7.50,-12.38,-70.56
2026-06-19 15:11:24,-0.67,-1.94,9.53,0.12,0.07,-0.02,8.75,-14.19,-69.19
2026-06-19 15:11:24,-1.12,-1.23,9.72,-0.02,-0.01,0.00,12.75,-21.19,-70.88
2026-06-19 15:11:24,-0.83,-1.02,9.57,0.09,0.01,0.01,10.25,-22.38,-64.50
2026-06-19 15:11:24,-0.68,-0.16,9.46,0.06,0.00,-0.01,8.69,-27.00,-62.88
2026-06-19 15:11:24,-0.70,-0.31,9.72,0.01,0.01,-0.01,9.75,-24.75,-61.69
2026-06-19 15:11:24,-0.62,-0.38,9.83,0.07,0.01,-0.01,8.25,-24.38,-61.69
