timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-19 09:24:24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-19 09:24:24,-9.72,-0.27,0.05,0.00,-0.00,0.00,-1976.69,-9.38,7.50
2026-06-19 09:24:24,-9.17,0.01,-0.38,-2.93,0.43,-1.28,70.94,-11.62,-1.56
2026-06-19 09:24:24,-4.24,-3.50,-7.33,1.89,0.96,1.11,83.25,-6.38,-26.94
2026-06-19 09:24:24,-10.95,-6.55,5.14,2.90,3.52,-0.93,72.44,14.88,-34.88
2026-06-19 09:24:24,-10.95,-2.76,15.15,0.15,-2.55,1.19,80.62,1.81,-28.12
2026-06-19 09:24:24,-12.55,-8.93,5.00,0.52,-2.66,-0.05,80.25,6.69,-9.12
2026-06-19 09:24:24,-9.52,-0.28,2.01,0.00,-0.01,-0.02,72.81,-9.75,-7.50
2026-06-19 09:24:24,-9.51,-0.22,1.99,-0.00,0.00,-0.00,72.81,-9.38,-7.50
2026-06-19 09:24:24,-9.48,-0.21,1.98,-0.00,0.00,-0.00,73.19,-9.75,-5.94
