timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-19 09:27:24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-19 09:27:24,2.24,0.23,8.80,-0.18,0.87,-0.01,1.88,-34.44,-153.19
2026-06-19 09:27:24,3.59,-2.92,8.41,-1.34,-1.61,-0.06,-13.44,-34.44,-149.19
2026-06-19 09:27:24,-0.32,0.44,9.34,-0.00,0.01,0.45,19.88,-45.25,-148.50
2026-06-19 09:27:24,0.12,0.25,9.30,-0.06,-0.03,0.58,16.12,-43.81,-148.62
2026-06-19 09:27:24,-0.11,0.03,9.33,0.10,0.01,0.38,-7.81,-36.69,-158.75
2026-06-19 09:27:24,0.08,0.14,9.35,-0.01,0.00,0.00,-20.56,-26.94,-164.81
2026-06-19 09:27:24,0.22,0.07,9.33,0.00,0.00,0.24,-40.00,-16.50,-177.31
2026-06-19 09:27:24,-0.64,-0.14,9.40,-0.57,0.87,5.15,-53.81,9.69,-189.50
2026-06-19 09:27:24,-0.46,-0.37,9.28,-0.00,-0.01,0.04,-40.75,35.50,-181.00
2026-06-19 09:27:24,0.24,-0.06,9.36,0.10,-0.12,-1.28,-63.56,17.94,-188.62
2026-06-19 09:27:24,-0.03,-0.81,9.35,0.35,0.00,0.02,-26.88,-32.19,-166.88
2026-06-19 09:27:24,-0.20,-0.37,9.56,1.08,0.21,0.27,-48.19,-46.06,-211.25
2026-06-19 09:27:24,-0.09,0.21,9.38,-0.00,-0.00,-0.12,-54.94,-36.31,-227.19
2026-06-19 09:27:24,0.02,0.16,9.36,0.01,0.00,-0.06,14.25,-36.31,-140.12
2026-06-19 09:27:24,-0.03,0.17,9.36,0.00,0.00,0.01,13.12,-36.31,-138.88
2026-06-19 09:27:24,-0.06,0.19,9.36,0.01,-0.00,-0.57,10.50,-32.56,-143.25
2026-06-19 09:27:24,-0.01,0.11,9.37,0.00,0.00,0.00,16.12,-32.19,-147.25
2026-06-19 09:27:24,-0.04,0.10,9.38,-0.00,0.00,0.00,15.00,-29.94,-146.81
2026-06-19 09:27:24,-0.03,0.09,9.35,0.00,0.01,-0.00,15.75,-31.81,-146.81
2026-06-19 09:27:24,0.00,0.07,9.37,0.00,0.00,-0.00,14.25,-31.44,-145.94
2026-06-19 09:27:24,-0.02,0.09,9.36,0.00,-0.00,0.00,13.50,-30.69,-146.75
2026-06-19 09:27:24,-0.02,0.11,9.35,-0.00,-0.00,-0.00,15.00,-29.94,-147.12
2026-06-19 09:27:24,-0.02,0.12,9.36,-0.00,0.00,0.00,15.00,-30.31,-147.94
2026-06-19 09:27:24,-0.02,0.11,9.35,-0.00,-0.00,0.00,15.38,-31.06,-145.50
2026-06-19 09:27:24,0.00,0.11,9.36,0.00,-0.00,0.00,13.88,-28.06,-147.44
