timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-19 14:27:24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-19 14:27:24,-1.02,-4.71,7.03,-2.30,0.25,-2.41,35.94,23.19,-82.00
2026-06-19 14:27:24,-2.51,-1.62,8.42,1.82,-0.13,-0.03,34.44,23.94,-83.19
2026-06-19 14:27:24,0.22,0.62,9.33,0.07,-0.03,0.02,22.88,-40.44,-84.38
2026-06-19 14:27:24,-0.04,0.19,9.35,-0.00,0.00,-0.00,27.31,-37.44,-88.38
2026-06-19 14:27:24,-0.02,0.08,9.36,0.00,0.00,0.00,26.56,-37.81,-87.56
2026-06-19 14:27:24,-0.01,0.13,9.35,-0.00,0.00,0.00,26.19,-37.81,-88.31
2026-06-19 14:28:24,0.04,0.11,9.33,0.08,0.09,-0.01,24.69,-38.19,-86.69
2026-06-19 14:28:24,-0.04,0.21,9.34,0.00,0.00,0.00,25.81,-40.44,-87.06
2026-06-19 14:28:24,-0.04,0.17,9.34,0.01,0.00,-0.00,25.81,-40.44,-86.25
2026-06-19 14:28:24,-0.05,0.22,9.35,-0.00,0.00,0.00,25.44,-40.44,-86.31
2026-06-19 14:28:24,-0.04,0.24,9.35,-0.00,0.00,-0.00,25.81,-40.44,-86.69
2026-06-19 14:28:24,-0.06,0.23,9.33,0.00,-0.00,-0.00,26.19,-40.44,-86.25
2026-06-19 14:28:24,-0.04,0.28,9.35,0.00,0.00,0.00,26.19,-38.94,-86.69
2026-06-19 14:28:24,-0.06,0.28,9.31,-0.00,0.00,0.00,26.19,-38.56,-85.94
2026-06-19 14:28:24,-0.04,0.28,9.32,0.00,-0.00,-0.00,25.81,-40.44,-85.94
2026-06-19 14:28:24,-3.65,0.08,1.20,-1.39,0.29,5.27,46.81,-26.56,-75.50
