timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-19 14:41:24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-19 14:41:24,-4.67,3.35,-7.75,-0.01,-0.03,-0.01,42.75,-24.00,36.62
2026-06-19 14:41:24,-4.05,5.67,7.99,-3.96,-3.02,-2.06,52.81,-36.00,-56.19
2026-06-19 14:41:24,-0.06,0.10,9.35,-0.01,0.00,0.00,21.75,-38.62,-89.56
2026-06-19 14:41:24,-0.16,0.19,9.35,0.00,0.00,-0.00,23.25,-36.75,-87.94
2026-06-19 14:41:24,-0.11,0.14,9.36,-0.00,-0.02,-0.01,23.62,-38.25,-88.25
2026-06-19 14:41:24,-0.11,-0.04,9.35,0.00,0.00,0.00,24.00,-37.50,-89.88
2026-06-19 14:41:24,-0.08,0.04,9.35,-0.00,0.01,0.00,24.38,-37.50,-90.25
2026-06-19 14:41:24,-0.14,0.17,9.35,0.00,0.01,0.00,24.00,-37.88,-88.62
2026-06-19 14:41:24,-5.68,2.22,7.15,-0.01,0.17,0.02,67.81,-11.25,-58.94
