timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-19 16:55:24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-19 16:55:24,-0.78,0.49,9.43,-0.00,-0.05,0.02,28.88,2.88,-82.25
2026-06-19 16:55:24,-0.77,0.48,9.31,0.01,-0.01,0.00,-2019.12,2.88,-82.25
2026-06-19 16:55:24,-0.75,0.49,9.34,0.00,0.00,0.00,28.88,2.88,-82.25
2026-06-19 16:55:24,-0.75,0.50,9.31,0.00,0.00,0.00,28.88,2.88,-82.25
2026-06-19 16:55:24,-0.76,0.45,9.31,-0.00,0.00,0.00,28.88,2.88,-82.25
2026-06-19 16:55:24,-0.75,0.48,9.30,0.00,0.00,0.00,28.88,3.25,-82.69
2026-06-19 16:55:24,-0.79,0.47,9.30,-0.00,0.00,0.00,28.88,3.25,-82.69
2026-06-19 16:55:24,-0.77,0.47,9.38,0.00,-0.00,0.00,28.50,3.69,-81.38
2026-06-19 16:55:24,-0.73,0.44,9.34,0.00,-0.00,-0.00,28.50,3.69,-81.38
2026-06-19 16:55:24,-0.74,0.45,9.32,0.00,-0.00,0.00,28.50,3.69,-81.38
2026-06-19 16:55:24,-0.73,0.46,9.34,-0.00,0.00,0.00,28.50,4.06,-80.25
2026-06-19 16:55:24,-0.77,0.43,9.26,0.00,0.00,0.00,28.50,4.06,-80.25
2026-06-19 16:55:24,-0.75,0.50,9.25,0.00,0.00,0.00,28.50,4.06,-80.25
2026-06-19 16:55:24,-0.76,0.49,9.37,0.00,0.00,-0.00,29.25,4.06,-80.69
2026-06-19 16:55:24,-0.74,0.50,9.33,0.00,-0.00,0.00,29.25,4.06,-80.69
2026-06-19 16:55:24,-0.77,0.48,9.32,0.00,0.00,-0.00,28.50,4.06,-80.25
2026-06-19 16:55:24,-0.77,0.48,9.32,0.00,-0.00,0.00,28.50,4.06,-80.25
2026-06-19 16:55:24,-0.77,0.48,9.36,-0.00,0.00,0.00,28.50,4.06,-80.25
2026-06-19 16:55:24,-0.74,0.48,9.33,0.00,0.00,-0.00,28.50,3.69,-81.06
2026-06-19 16:55:24,-0.74,0.48,9.31,-0.00,-0.00,0.00,28.50,3.69,-81.06
2026-06-19 16:55:24,-0.77,0.47,9.33,-0.00,0.00,0.00,29.56,4.06,-81.50
2026-06-19 16:55:24,-0.74,0.48,9.34,-0.00,-0.00,0.00,29.56,4.06,-81.50
2026-06-19 16:55:24,-0.76,0.50,9.34,0.00,0.00,0.00,29.56,4.06,-81.50
2026-06-19 16:55:24,-0.76,0.46,9.35,-0.00,0.01,0.00,27.38,3.25,-80.69
2026-06-19 16:55:24,-0.75,0.47,9.31,0.00,0.00,0.00,27.38,3.25,-80.69
2026-06-19 16:55:24,-0.76,0.45,9.31,0.00,-0.00,0.00,27.38,3.25,-80.69
2026-06-19 16:55:24,-0.79,0.46,9.33,0.00,0.00,0.00,28.88,3.69,-81.06
2026-06-19 16:55:24,-0.74,0.47,9.34,0.00,0.00,0.00,28.88,3.69,-81.06
2026-06-19 16:55:24,-0.75,0.48,9.30,-0.00,-0.00,0.00,28.88,3.69,-81.06
2026-06-19 16:55:24,-0.75,0.49,9.36,0.00,0.00,0.00,29.25,4.06,-79.38
2026-06-19 16:55:24,-0.76,0.47,9.32,0.00,-0.00,0.00,29.25,4.06,-79.38
2026-06-19 16:55:24,-0.76,0.47,9.33,0.00,0.00,0.00,28.88,3.69,-81.50
2026-06-19 16:55:24,-0.76,0.48,9.33,0.00,-0.00,0.00,28.88,3.69,-81.50
2026-06-19 16:55:24,-0.76,0.49,9.33,0.00,0.00,-0.00,28.88,3.69,-81.50
2026-06-19 16:55:24,-0.76,0.47,9.31,0.00,0.00,0.00,28.50,3.25,-79.75
2026-06-19 16:55:24,-0.75,0.46,9.33,0.00,-0.00,-0.00,28.50,3.25,-79.75
2026-06-19 16:55:24,-0.77,0.48,9.33,-0.00,0.00,-0.00,28.50,3.25,-79.75
2026-06-19 16:55:24,-0.77,0.47,9.32,-0.00,-0.00,0.00,28.88,3.25,-81.06
2026-06-19 16:55:24,-0.75,0.48,9.30,0.00,-0.00,0.00,28.88,3.25,-81.06
2026-06-19 16:55:24,-0.77,0.48,9.35,0.00,-0.00,0.00,28.88,3.25,-81.06
2026-06-19 16:55:24,-0.75,0.47,9.36,-0.00,-0.00,-0.00,28.50,3.69,-80.69
2026-06-19 16:55:24,-0.74,0.46,9.31,0.00,0.00,0.00,28.50,3.69,-80.69
2026-06-19 16:55:24,-0.74,0.48,9.34,0.00,-0.00,0.00,29.25,2.88,-80.69
