timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-19 14:31:24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-19 14:31:24,-2.96,-8.57,3.90,0.01,0.00,0.01,44.56,75.94,-56.50
2026-06-19 14:31:24,-2.67,-7.46,5.08,0.14,-1.44,-0.42,46.06,67.69,-60.94
2026-06-19 14:31:24,-0.33,0.44,9.92,-0.36,-0.36,-0.05,21.00,-38.19,-87.19
2026-06-19 14:31:24,-0.19,0.36,9.34,0.03,0.02,0.00,21.75,-38.56,-87.25
2026-06-19 14:31:24,-0.13,1.52,9.35,0.00,-0.00,0.00,22.88,-38.56,-90.00
2026-06-19 14:31:24,-0.14,0.22,9.36,-0.00,0.00,0.00,21.75,-38.56,-87.62
2026-06-19 14:31:24,-0.12,0.22,9.39,0.00,0.00,-0.00,21.38,-38.19,-87.62
2026-06-19 14:31:24,-0.15,0.22,9.35,-0.00,0.00,0.00,21.75,-38.56,-87.62
2026-06-19 14:31:24,-0.13,0.22,9.35,-0.00,0.00,0.00,22.88,-38.56,-87.19
2026-06-19 14:31:24,-0.10,0.28,9.35,0.01,-0.00,-0.01,22.50,-38.19,-88.44
