timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-27 11:32:18.253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-27 11:32:18.268,0.43,0.35,10.10,-0.04,0.00,-0.00,93.50,-8.25,-33.25
2026-06-27 11:32:18.284,0.42,0.31,9.34,-0.01,0.00,0.00,93.50,-8.25,-33.25
2026-06-27 11:32:18.300,0.43,0.33,9.31,0.00,-0.00,0.00,93.50,-8.25,-33.25
2026-06-27 11:32:18.315,0.45,0.33,9.32,0.00,-0.00,0.00,93.50,-8.25,-33.25
2026-06-27 11:32:18.327,0.43,0.35,9.30,-0.00,-0.00,0.00,93.50,-8.25,-33.25
2026-06-27 11:32:18.345,0.40,0.34,9.34,-0.00,0.00,0.00,93.50,-8.25,-33.25
2026-06-27 11:32:18.357,0.43,0.33,9.36,0.00,-0.00,0.00,93.06,-7.50,-32.88
2026-06-27 11:32:18.374,0.42,0.32,9.35,-0.00,-0.00,0.00,93.06,-7.50,-32.88
2026-06-27 11:32:18.388,0.43,0.33,9.35,-0.00,0.00,0.00,93.06,-7.50,-32.88
2026-06-27 11:32:18.403,0.44,0.33,9.35,-0.00,0.00,-0.00,93.06,-7.50,-32.88
2026-06-27 11:32:18.415,0.41,0.34,9.34,0.00,0.00,-0.00,92.25,-7.50,-32.06
2026-06-27 11:32:18.427,0.42,0.34,9.33,0.00,-0.00,0.00,92.25,-7.50,-32.06
2026-06-27 11:32:18.445,0.42,0.34,9.34,0.00,0.00,0.00,92.25,-7.50,-32.06
2026-06-27 11:32:18.460,0.42,0.33,9.38,0.00,0.00,0.00,93.06,-7.88,-32.06
2026-06-27 11:32:18.475,0.43,0.34,9.33,0.00,-0.00,-0.00,93.06,-7.88,-32.06
2026-06-27 11:32:18.488,0.43,0.34,9.34,0.00,-0.00,-0.00,93.06,-7.88,-32.06
2026-06-27 11:32:18.504,0.40,0.33,9.32,0.00,-0.00,0.00,92.38,-8.25,-31.69
2026-06-27 11:32:18.517,0.43,0.34,9.33,0.00,0.00,0.00,92.38,-8.25,-31.69
2026-06-27 11:32:18.529,0.44,0.33,9.35,-0.00,0.00,-0.00,92.38,-8.25,-31.69
2026-06-27 11:32:18.545,0.42,0.34,9.34,0.00,-0.00,-0.00,92.38,-8.25,-31.69
2026-06-27 11:32:18.558,0.42,0.33,9.32,0.00,-0.00,-0.00,92.00,-7.50,-32.06
2026-06-27 11:32:18.575,0.43,0.34,9.36,-0.00,-0.00,0.00,92.00,-7.50,-32.06
2026-06-27 11:32:18.588,0.44,0.35,9.34,0.00,0.00,0.00,92.00,-7.50,-32.06
2026-06-27 11:32:18.600,0.45,0.35,9.37,-0.00,0.00,-0.00,92.00,-7.50,-32.06
2026-06-27 11:32:18.615,0.43,0.35,9.37,0.00,0.00,-0.00,93.38,-8.25,-32.38
2026-06-27 11:32:18.627,0.42,0.33,9.32,-0.00,0.00,0.00,93.38,-8.25,-32.38
2026-06-27 11:32:18.645,0.43,0.34,9.33,0.00,0.00,0.00,93.38,-8.25,-32.38
2026-06-27 11:32:18.658,0.43,0.33,9.34,-0.00,0.00,-0.00,92.75,-7.50,-32.88
2026-06-27 11:32:18.677,0.43,0.33,9.35,0.00,0.00,-0.00,92.75,-7.50,-32.88
2026-06-27 11:32:18.693,0.43,0.33,9.35,0.00,0.00,0.00,92.75,-7.50,-32.88
