timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2026-06-27 11:34:19.426,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2026-06-27 11:34:19.441,0.18,0.73,10.10,-0.00,-0.01,-0.00,76.06,-23.56,-23.38
2026-06-27 11:34:19.459,0.16,0.75,9.63,-0.00,0.00,0.00,76.06,-23.56,-23.38
2026-06-27 11:34:19.477,0.17,0.74,9.67,-0.00,-0.00,0.00,76.06,-23.56,-23.38
2026-06-27 11:34:19.492,0.19,0.73,9.69,-0.00,0.00,-0.00,76.06,-23.56,-23.38
2026-06-27 11:34:19.508,0.18,0.75,9.65,-0.00,-0.00,0.00,76.06,-23.56,-23.38
2026-06-27 11:34:19.521,0.17,0.75,9.68,-0.00,0.00,-0.00,76.06,-23.56,-23.38
2026-06-27 11:34:19.537,0.17,0.75,9.67,-0.00,0.00,0.00,76.06,-22.50,-23.75
2026-06-27 11:34:19.549,0.20,0.75,9.63,-0.00,-0.00,0.00,76.06,-22.50,-23.75
2026-06-27 11:34:19.567,0.18,0.75,9.68,-0.00,-0.00,0.00,76.06,-22.50,-23.75
2026-06-27 11:34:19.583,0.17,0.74,9.68,-0.00,-0.00,0.00,75.38,-21.75,-23.38
2026-06-27 11:34:19.597,0.19,0.73,9.69,-0.00,0.00,0.00,75.38,-21.75,-23.38
2026-06-27 11:34:19.610,0.16,0.75,9.67,-0.00,0.00,0.00,75.38,-21.75,-23.38
2026-06-27 11:34:19.626,0.17,0.74,9.70,-0.00,-0.00,0.00,75.38,-21.75,-23.38
2026-06-27 11:34:19.639,0.19,0.74,9.71,-0.00,0.00,-0.00,75.38,-22.06,-22.88
2026-06-27 11:34:19.654,0.18,0.73,9.68,-0.00,0.00,-0.00,75.38,-22.06,-22.88
2026-06-27 11:34:19.668,0.18,0.76,9.69,-0.00,0.00,0.00,75.38,-22.06,-22.88
2026-06-27 11:34:19.684,0.19,0.75,9.69,-0.00,-0.00,0.00,75.38,-22.50,-23.38
2026-06-27 11:34:19.697,0.18,0.74,9.68,-0.00,0.00,0.00,75.38,-22.50,-23.38
2026-06-27 11:34:19.710,0.20,0.75,9.66,-0.00,0.00,0.00,75.38,-22.50,-23.38
